#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0004879	Nuclear receptor activity	4	53	2.03	1.66	0.00030	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
GO:0036041	Long-chain fatty acid binding	3	15	2.45	1.71	0.00038	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928	FABP4,PPARG,PPARD
GO:0008289	Lipid binding	7	796	1.09	0.95	0.00060	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,F2,PPARD,ESR1,NR1H3
GO:0046914	Transition metal ion binding	7	1104	0.95	0.7	0.0042	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP3,PPARD,ALOX5,ESR1,MMP12,NR1H3
GO:0008270	Zinc ion binding	6	827	1.01	0.67	0.0088	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP3,PPARD,ESR1,MMP12,NR1H3
GO:0038023	Signaling receptor activity	7	1489	0.82	0.52	0.0167	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,CNR2,ESR1,NR1H3
GO:0005496	Steroid binding	3	101	1.62	0.77	0.0223	9606.ENSP00000289547,9606.ENSP00000405330,9606.ENSP00000477707	NPC1L1,ESR1,NR1H3
GO:0001221	Transcription coregulator binding	3	114	1.57	0.71	0.0291	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330	PPARG,PPARD,ESR1
GO:0004115	3,5-cyclic-AMP phosphodiesterase activity	2	19	2.17	0.73	0.0350	9606.ENSP00000345502,9606.ENSP00000410309	PDE4D,PDE1A
GO:0046872	Metal ion binding	10	4250	0.52	0.33	0.0350	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000410309,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP3,F2,PPARD,PDE4D,ALOX5,ESR1,PDE1A,MMP12,NR1H3
