#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0031347	Regulation of defense response	9	638	1.3	1.68	7.39e-07	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0032101	Regulation of response to external stimulus	10	964	1.16	1.44	7.39e-07	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,F2,PPARD,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0050727	Regulation of inflammatory response	8	371	1.48	2.01	7.39e-07	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,ALOX5,CNR2,ESR1,NR1H3
GO:0080134	Regulation of response to stress	10	1373	1.01	1.08	8.47e-06	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,F2,PPARD,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0032102	Negative regulation of response to external stimulus	7	387	1.41	1.64	1.15e-05	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,F2,PPARD,ALOX5,CNR2,MMP12,NR1H3
GO:0031348	Negative regulation of defense response	6	232	1.56	1.77	2.11e-05	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,PPARD,ALOX5,CNR2,MMP12,NR1H3
GO:0050728	Negative regulation of inflammatory response	5	147	1.68	1.65	0.00011	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000477707	PPARG,PPARD,ALOX5,CNR2,NR1H3
GO:0010887	Negative regulation of cholesterol storage	3	10	2.63	1.91	0.00016	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000477707	PPARG,PPARD,NR1H3
GO:0048583	Regulation of response to stimulus	12	3931	0.63	0.54	0.00040	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0048585	Negative regulation of response to stimulus	9	1612	0.9	0.78	0.00040	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0051239	Regulation of multicellular organismal process	10	2749	0.71	0.56	0.0020	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,ADRA1B,F2,PPARD,PDE4D,ALOX5,ESR1,MMP12,NR1H3
GO:0065008	Regulation of biological quality	11	3654	0.63	0.49	0.0021	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,NR1H3
GO:0009755	Hormone-mediated signaling pathway	4	133	1.63	1.16	0.0022	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
GO:0032965	Regulation of collagen biosynthetic process	3	36	2.07	1.27	0.0024	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928	PPARG,F2,PPARD
GO:0045923	Positive regulation of fatty acid metabolic process	3	37	2.06	1.27	0.0024	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000477707	PPARG,PPARD,NR1H3
GO:0050896	Response to stimulus	14	7835	0.4	0.34	0.0024	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000299855,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000410309,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,MMP3,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,PDE1A,MMP12,NR1H3
GO:1901700	Response to oxygen-containing compound	8	1547	0.86	0.67	0.0024	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP3,PPARD,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO:0045834	Positive regulation of lipid metabolic process	4	155	1.56	1.1	0.0028	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000477707	PPARG,F2,PPARD,NR1H3
GO:0051716	Cellular response to stimulus	13	6357	0.46	0.37	0.0028	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000299855,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000410309,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,MMP3,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,PDE1A,NR1H3
GO:0055088	Lipid homeostasis	4	161	1.54	1.09	0.0029	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,NR1H3
GO:0042221	Response to chemical	11	4010	0.59	0.45	0.0031	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,MMP3,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0010646	Regulation of cell communication	10	3355	0.62	0.46	0.0060	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0023051	Regulation of signaling	10	3367	0.62	0.46	0.0060	9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,ADRA1B,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0001996	Positive regulation of heart rate by epinephrine-norepinephrine	2	6	2.67	1.11	0.0068	9606.ENSP00000306662,9606.ENSP00000345502	ADRA1B,PDE4D
GO:0070887	Cellular response to chemical stimulus	9	2609	0.69	0.49	0.0068	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,PDE4D,ALOX5,CNR2,ESR1,NR1H3
GO:0051707	Response to other organism	7	1328	0.87	0.61	0.0071	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000363596,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,F2,PPARD,CNR2,MMP12,NR1H3
GO:0010033	Response to organic substance	9	2692	0.67	0.48	0.0078	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,PDE4D,CNR2,ESR1,MMP12,NR1H3
GO:0001960	Negative regulation of cytokine-mediated signaling pathway	3	75	1.75	0.97	0.0086	9606.ENSP00000287820,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP12,NR1H3
GO:0015908	Fatty acid transport	3	75	1.75	0.97	0.0086	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928	FABP4,PPARG,PPARD
GO:0045824	Negative regulation of innate immune response	3	74	1.76	0.97	0.0086	9606.ENSP00000287820,9606.ENSP00000458585,9606.ENSP00000477707	PPARG,MMP12,NR1H3
GO:0048878	Chemical homeostasis	6	904	0.97	0.65	0.0086	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000289547,9606.ENSP00000308541,9606.ENSP00000363512,9606.ENSP00000477707	FABP4,PPARG,NPC1L1,F2,ALOX5,NR1H3
GO:0060336	Negative regulation of interferon-gamma-mediated signaling pathway	2	8	2.55	1.05	0.0086	9606.ENSP00000287820,9606.ENSP00000477707	PPARG,NR1H3
GO:0050708	Regulation of protein secretion	4	250	1.35	0.84	0.0089	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000477707	PPARG,PPARD,ALOX5,NR1H3
GO:0048523	Negative regulation of cellular process	11	4736	0.51	0.38	0.0094	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,F2,PPARD,PDE4D,ALOX5,CNR2,ESR1,MMP12,NR1H3
GO:0032966	Negative regulation of collagen biosynthetic process	2	10	2.45	1.0	0.0104	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
GO:0048584	Positive regulation of response to stimulus	8	2131	0.72	0.49	0.0104	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,ADRA1B,F2,PPARD,PDE4D,MMP12,NR1H3
GO:0051240	Positive regulation of multicellular organismal process	7	1505	0.82	0.55	0.0104	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000345502,9606.ENSP00000363512,9606.ENSP00000458585	FABP4,PPARG,ADRA1B,F2,PDE4D,ALOX5,MMP12
GO:0042632	Cholesterol homeostasis	3	89	1.68	0.91	0.0106	9606.ENSP00000256104,9606.ENSP00000289547,9606.ENSP00000477707	FABP4,NPC1L1,NR1H3
GO:0034440	Lipid oxidation	3	90	1.67	0.91	0.0107	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512	PPARG,PPARD,ALOX5
GO:0009892	Negative regulation of metabolic process	9	2982	0.63	0.43	0.0115	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,F2,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO:0010745	Negative regulation of macrophage derived foam cell differentiation	2	13	2.34	0.94	0.0134	9606.ENSP00000287820,9606.ENSP00000477707	PPARG,NR1H3
GO:0031324	Negative regulation of cellular metabolic process	8	2265	0.7	0.47	0.0134	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000458585,9606.ENSP00000477707	FABP4,PPARG,MMP3,PPARD,PDE4D,ESR1,MMP12,NR1H3
GO:1901701	Cellular response to oxygen-containing compound	6	1057	0.9	0.58	0.0134	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,MMP3,PPARD,PDE4D,ESR1,NR1H3
