#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA1	APOC3	9606.ENSP00000363868	9606.ENSP00000227667	0	0	0	0	0.042	0	0	0.744	0.744
ABCA1	APOB	9606.ENSP00000363868	9606.ENSP00000233242	0	0	0	0	0.042	0	0	0.861	0.861
ABCA1	APOA1	9606.ENSP00000363868	9606.ENSP00000236850	0	0	0	0	0.055	0.697	0.900	0.999	0.999
ABCA1	PPARG	9606.ENSP00000363868	9606.ENSP00000287820	0	0	0	0	0.044	0.049	0	0.818	0.820
ABCA1	HMGCR	9606.ENSP00000363868	9606.ENSP00000287936	0	0	0	0	0	0	0	0.866	0.866
ABCA1	NPC1L1	9606.ENSP00000363868	9606.ENSP00000289547	0	0	0	0	0.055	0.067	0	0.807	0.815
ABCA1	LPA	9606.ENSP00000363868	9606.ENSP00000321334	0	0	0	0	0	0	0	0.740	0.740
ABCA1	LIPA	9606.ENSP00000363868	9606.ENSP00000337354	0	0	0	0	0.063	0.041	0	0.730	0.736
ABCA1	SREBF1	9606.ENSP00000363868	9606.ENSP00000348069	0	0	0	0	0	0.060	0	0.903	0.905
ABCA1	SREBF2	9606.ENSP00000363868	9606.ENSP00000354476	0	0	0	0	0	0.060	0	0.939	0.940
ABCA1	APOA2	9606.ENSP00000363868	9606.ENSP00000356969	0	0	0	0	0.059	0	0	0.872	0.874
ABCA1	INS	9606.ENSP00000363868	9606.ENSP00000380432	0	0	0	0	0.056	0	0	0.738	0.742
ABCA1	CDC42	9606.ENSP00000363868	9606.ENSP00000497733	0	0	0	0	0	0.300	0	0.655	0.748
ABCA1	NR1H4	9606.ENSP00000363868	9606.ENSP00000447149	0	0	0	0	0.044	0.049	0	0.751	0.754
ABCA1	CD36	9606.ENSP00000363868	9606.ENSP00000415743	0	0	0	0	0.087	0	0	0.823	0.831
ABCA1	PPARA	9606.ENSP00000363868	9606.ENSP00000385523	0	0	0	0	0	0.049	0.500	0.762	0.877
ABCA1	RXRA	9606.ENSP00000363868	9606.ENSP00000419692	0	0	0	0	0.056	0.049	0.800	0.588	0.916
ABCA1	NR1H3	9606.ENSP00000363868	9606.ENSP00000477707	0	0	0	0	0.061	0.049	0.500	0.935	0.967
ABCA1	NR1H2	9606.ENSP00000363868	9606.ENSP00000499121	0	0	0	0	0	0.628	0.800	0.900	0.991
ABCB1	P2RY12	9606.ENSP00000478255	9606.ENSP00000307259	0	0	0	0	0.072	0	0	0.696	0.705
ABCB1	CYP2C8	9606.ENSP00000478255	9606.ENSP00000360317	0	0	0	0	0.080	0.069	0	0.701	0.722
ABCB1	CYP2C19	9606.ENSP00000478255	9606.ENSP00000360372	0	0	0	0	0.067	0.069	0	0.850	0.858
ABCB1	CYP2D6	9606.ENSP00000478255	9606.ENSP00000496150	0	0	0	0	0.067	0.069	0	0.766	0.779
ABCC1	ABCG2	9606.ENSP00000382342	9606.ENSP00000498246	0	0	0	0	0.057	0.100	0	0.968	0.971
ABCC8	INS	9606.ENSP00000494321	9606.ENSP00000380432	0	0	0	0	0.109	0.096	0	0.897	0.909
ABCC8	ABCG5	9606.ENSP00000494321	9606.ENSP00000384513	0	0	0	0	0.084	0.100	0.540	0.389	0.737
ABCC8	GCG	9606.ENSP00000494321	9606.ENSP00000387662	0	0	0	0	0.072	0	0	0.816	0.822
ABCG2	CFTR	9606.ENSP00000498246	9606.ENSP00000003084	0	0	0	0	0.057	0.100	0	0.711	0.733
ABCG2	SLC2A9	9606.ENSP00000498246	9606.ENSP00000264784	0	0	0	0	0.095	0.045	0	0.873	0.881
ABCG2	SLC47A1	9606.ENSP00000498246	9606.ENSP00000270570	0.042	0	0	0	0.165	0	0	0.715	0.752
ABCG2	SLCO2B1	9606.ENSP00000498246	9606.ENSP00000289575	0	0	0	0	0.076	0	0	0.767	0.775
ABCG2	ALB	9606.ENSP00000498246	9606.ENSP00000295897	0	0	0	0	0.049	0	0	0.806	0.807
ABCG2	SLC22A12	9606.ENSP00000498246	9606.ENSP00000366797	0	0	0	0	0.047	0.094	0	0.860	0.869
ABCG5	ATP12A	9606.ENSP00000384513	9606.ENSP00000218548	0	0	0	0	0.074	0.067	0.720	0.099	0.752
ABCG5	APOB	9606.ENSP00000384513	9606.ENSP00000233242	0	0	0	0	0.258	0	0	0.707	0.773
ABCG5	APOA1	9606.ENSP00000384513	9606.ENSP00000236850	0	0	0	0	0.239	0	0	0.629	0.705
ABCG5	ABCG8	9606.ENSP00000384513	9606.ENSP00000272286	0	0	0.131	0.739	0.847	0.971	0.900	0.988	0.999
ABCG5	HMGCR	9606.ENSP00000384513	9606.ENSP00000287936	0	0	0	0	0	0	0	0.743	0.743
ABCG5	NPC1L1	9606.ENSP00000384513	9606.ENSP00000289547	0	0	0	0	0.190	0.067	0	0.886	0.906
ABCG5	SREBF1	9606.ENSP00000384513	9606.ENSP00000348069	0	0	0	0	0	0.060	0	0.797	0.801
ABCG5	SREBF2	9606.ENSP00000384513	9606.ENSP00000354476	0	0	0	0	0	0.060	0	0.919	0.921
ABCG5	MTTP	9606.ENSP00000384513	9606.ENSP00000427679	0	0	0	0	0.293	0	0	0.609	0.712
ABCG5	NR1H4	9606.ENSP00000384513	9606.ENSP00000447149	0	0	0	0	0.245	0.053	0	0.840	0.876
ABCG5	NR1H2	9606.ENSP00000384513	9606.ENSP00000499121	0	0	0	0	0.115	0.053	0.400	0.821	0.898
ABCG5	NR1H3	9606.ENSP00000384513	9606.ENSP00000477707	0	0	0	0	0.117	0.053	0.400	0.846	0.912
ABCG8	ATP12A	9606.ENSP00000272286	9606.ENSP00000218548	0	0	0	0	0.069	0.067	0.720	0.072	0.744
ABCG8	APOB	9606.ENSP00000272286	9606.ENSP00000233242	0	0	0	0	0.222	0	0	0.679	0.740
ABCG8	SREBF1	9606.ENSP00000272286	9606.ENSP00000348069	0	0	0	0	0	0.060	0	0.772	0.776
ABCG8	HMGCR	9606.ENSP00000272286	9606.ENSP00000287936	0	0	0	0	0	0	0	0.794	0.794
ABCG8	NR1H4	9606.ENSP00000272286	9606.ENSP00000447149	0	0	0	0	0.295	0.053	0	0.805	0.858
