Target,BetweennessCentrality,ClosenessCentrality,Degree
AHSG,0.010592423,0.657894737,13
CLU,0.035728392,0.714285714,16
FGA,0.040118033,0.675675676,14
PLA2G7,0,0.609756098,11
LRP8,0,0.510204082,3
APOB,0.099012032,0.892857143,22
MTTP,8.93E-04,0.555555556,7
APOA1,0.04752992,0.833333333,20
LPL,0.084789272,0.641025641,12
TTR,0.006742567,0.641025641,12
PCSK5,0,0.396825397,1
APOC3,0.05928981,0.862068966,21
F13A1,0,0.431034483,3
FABP1,0.002202381,0.568181818,8
ANGPTL3,0,0.531914894,5
LPA,0.031093695,0.78125,18
ALB,0.031647769,0.757575758,17
APOM,0.005918758,0.657894737,13
F2,0.031367522,0.657894737,13
APP,0.02027085,0.694444444,15
APOA5,0.019854855,0.714285714,15
FGB,0.017796642,0.609756098,10
APOA2,0.05806403,0.862068966,21
GC,0.002446296,0.568181818,8
PON1,0.003099327,0.657894737,13
APOA4,0.011542569,0.694444444,15
