#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALOX5	PPARG	9606.ENSP00000363512	9606.ENSP00000287820	0	0	0	0	0.093	0	0	0.480	0.509
ESR1	PPARG	9606.ENSP00000405330	9606.ENSP00000287820	0	0	0	0.604	0.059	0	0	0.790	0.794
ESR1	MMP3	9606.ENSP00000405330	9606.ENSP00000299855	0	0	0	0	0	0	0	0.409	0.409
FABP4	NR1H3	9606.ENSP00000256104	9606.ENSP00000477707	0	0	0	0	0.063	0.050	0	0.462	0.479
FABP4	PPARD	9606.ENSP00000256104	9606.ENSP00000310928	0	0	0	0	0	0.050	0	0.751	0.753
FABP4	PPARG	9606.ENSP00000256104	9606.ENSP00000287820	0	0	0	0	0.222	0.050	0.500	0.983	0.993
MMP12	MMP3	9606.ENSP00000458585	9606.ENSP00000299855	0	0	0.068	0.945	0.330	0	0.400	0.446	0.764
MMP3	PPARG	9606.ENSP00000299855	9606.ENSP00000287820	0	0	0	0	0	0	0	0.423	0.423
NPC1L1	NR1H3	9606.ENSP00000289547	9606.ENSP00000477707	0	0	0	0	0.090	0	0	0.470	0.497
NR1H3	PPARG	9606.ENSP00000477707	9606.ENSP00000287820	0	0	0	0.703	0.123	0.405	0	0.763	0.865
NR1H3	PPARD	9606.ENSP00000477707	9606.ENSP00000310928	0	0	0	0.689	0	0.405	0	0.248	0.533
PDE1A	PDE4D	9606.ENSP00000410309	9606.ENSP00000345502	0	0	0	0.774	0.056	0.086	0.400	0.222	0.543
PPARD	PPARG	9606.ENSP00000310928	9606.ENSP00000287820	0	0	0.049	0.958	0	0	0	0.713	0.715
